dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,y
0.121425875,0.3227234,0.28899732,0.40058511,0.44861767,0.45380598,0.11881734,0.3483813,0.69316334,0.95534194,0.9113348,0.8319579,0.0069914344,0.0031352546,0.80218065,0.99671733,0.0
0.12210926,0.3216117,0.28483683,0.40903422,0.431189,0.37672797,0.11949347,0.34936064,0.74325347,0.9549047,0.9351134,0.87872666,0.006758603,0.0033271667,0.8560288,0.98969567,0.0
0.122172095,0.32263723,0.29047057,0.40173584,0.44973165,0.4581822,0.11936052,0.34945053,0.66177136,0.9663497,0.923955,0.82654965,0.0069792448,0.003100621,0.79601383,0.9795526,0.0
0.1223724,0.32366076,0.29295602,0.39885584,0.45769262,0.4878819,0.11962262,0.349737,0.78308207,0.9624432,0.9150485,0.8060401,0.0070599024,0.0030113265,0.7727409,0.98245484,0.0
0.1223724,0.32289463,0.28697637,0.4065695,0.43778193,0.40797493,0.119554244,0.349737,0.7269647,0.96646535,0.9240376,0.8613197,0.0068198475,0.0032467162,0.8358781,0.99638236,0.0
0.12245095,0.32077053,0.28820664,0.4051982,0.4415532,0.4246403,0.119728975,0.34984925,0.67162836,0.960706,0.9505339,0.8506244,0.0068618134,0.0031991703,0.823561,0.9939382,0.0
0.122545205,0.3245815,0.29181346,0.40065426,0.45341858,0.47226924,0.1199303,0.34998393,0.72014344,0.9543064,0.9069862,0.81830794,0.0069975113,0.0030600904,0.7866401,0.99020034,0.0
0.12254914,0.32222822,0.29103795,0.40153068,0.45097086,0.46298403,0.11987332,0.34998953,0.6680052,0.9578706,0.93466574,0.82545257,0.006966047,0.0030901632,0.79476446,0.9949976,0.0
0.12282013,0.32166612,0.28749523,0.40731502,0.4377699,0.40792042,0.12000627,0.35037643,0.6916094,0.9656091,0.9455954,0.8613739,0.0067985943,0.0032397923,0.8359407,0.99652904,0.0
0.123067565,0.31982508,0.29336917,0.39998424,0.4569709,0.48529717,0.12002906,0.35072932,0.7043315,0.97844553,0.9717112,0.8098195,0.007009949,0.0030166327,0.7770161,0.99594516,0.0
0.123220734,0.32052523,0.29753166,0.39530087,0.4703312,0.53009516,0.12004805,0.3509476,0.68798935,0.98610264,0.96562225,0.774281,0.0071613407,0.0028681795,0.7370563,0.9858319,0.0
0.123833425,0.32176232,0.28930265,0.40846828,0.43946183,0.41549963,0.12075838,0.3518193,0.68719345,0.9794751,0.9602994,0.85553557,0.0067761824,0.00319856,0.82921094,0.98829293,0.0
0.12400231,0.33951572,0.29406887,0.40277705,0.45464477,0.47682464,0.12230057,0.35205922,0.6486428,0.90006727,0.76536703,0.8135468,0.0069493726,0.0030181918,0.78123826,0.9793081,0.0
0.12425366,0.33075538,0.31086904,0.3811753,0.5140419,0.6429976,0.1217232,0.35241598,0.66427135,0.9473289,0.86260676,0.6723146,0.0075900364,0.0024572297,0.62539077,0.9939506,0.0
0.12440291,0.33111805,0.32038882,0.37182865,0.5460877,0.70399374,0.12158645,0.35262766,0.59708244,0.9636609,0.86078423,0.5989246,0.007951223,0.002189494,0.54776084,0.9549088,0.0
0.1244304,0.3257234,0.2842405,0.4175585,0.42031658,0.31802154,0.12165102,0.35266662,0.7008158,0.96148056,0.92258215,0.9199094,0.0065212473,0.0034290273,0.89289427,0.9926743,0.0
0.12451287,0.33055085,0.2919058,0.40674227,0.44600064,0.44329426,0.12190553,0.35278353,0.7134452,0.9514511,0.86872655,0.85606563,0.0068162465,0.0031165048,0.8099716,0.9953275,0.0
0.124689616,0.3232578,0.29741138,0.3998792,0.4641337,0.5100857,0.12162823,0.3530339,0.70855415,0.97745067,0.95568806,0.8133502,0.007016833,0.0029148036,0.7557073,0.99288225,0.0
0.12476816,0.32785556,0.29901254,0.39809015,0.4692531,0.52670354,0.12220941,0.35314512,0.71525913,0.94835174,0.9030454,0.80147725,0.007072501,0.0028596374,0.74079764,0.990451,0.0
0.12493704,0.32339177,0.30310717,0.39292777,0.48335654,0.5684065,0.12174979,0.35338414,0.703045,0.9843862,0.9579193,0.7713884,0.0072175884,0.002722834,0.7033501,0.9979515,0.0
0.12497632,0.3272144,0.28923494,0.4126042,0.43441397,0.39236957,0.122190416,0.3534397,0.69814616,0.9611547,0.91357,0.88270646,0.006668541,0.0032370812,0.8443087,0.98221767,0.0
0.124984175,0.3336874,0.3016021,0.3950527,0.4778241,0.5527083,0.12259306,0.35345078,0.70616674,0.9385003,0.84104764,0.7833697,0.0071539343,0.0027752898,0.7182037,0.99762386,0.0
0.12503916,0.33060074,0.30436307,0.39188936,0.4870052,0.57833403,0.12245631,0.35352856,0.7396133,0.9494144,0.87596935,0.7627855,0.007257197,0.0026836656,0.69273216,0.9916104,0.0
0.1253455,0.32269973,0.2927334,0.4084657,0.4453053,0.4404448,0.12225119,0.3539615,0.7151997,0.9784209,0.97258115,0.8572693,0.0067721615,0.0031095783,0.8115148,0.9916481,0.0
0.12556937,0.32232496,0.28916976,0.41407305,0.43257636,0.38354465,0.122486696,0.35427755,0.69787663,0.97743285,0.9806073,0.8890007,0.006612283,0.0032583186,0.8524768,0.99548036,0.0
0.12564792,0.3225083,0.28808677,0.415904,0.42862922,0.36378318,0.12253228,0.3543884,0.70412254,0.9792183,0.97960544,0.898901,0.0065628667,0.0033053549,0.8653673,0.99518085,0.0
0.12565577,0.3296593,0.28711772,0.41793698,0.42467523,0.34277588,0.12303748,0.3543995,0.75407445,0.95070964,0.8957582,0.90721464,0.006524276,0.0033460648,0.87623245,0.9816135,0.0
0.12573825,0.32922664,0.28814447,0.41660583,0.42791456,0.36008015,0.122976705,0.35451582,0.66445655,0.9587909,0.9019164,0.8992894,0.006557028,0.0033058259,0.86587405,0.9841993,0.0
0.12578145,0.32950923,0.3125742,0.3842649,0.51257104,0.6398334,0.12287795,0.35457674,0.7209673,0.96685773,0.8993398,0.7089006,0.0075073163,0.002444133,0.6271262,0.98157865,0.0
0.12582858,0.32489938,0.30378073,0.39515308,0.48152307,0.5632926,0.12272221,0.35464317,0.69222844,0.97842896,0.9536853,0.7744813,0.007159423,0.002724374,0.707177,0.9908725,0.0
0.12585215,0.32871035,0.29249895,0.4104334,0.44252038,0.42878556,0.12305268,0.3546764,0.7165288,0.9608145,0.90953076,0.86404026,0.0067168153,0.0031340364,0.8202103,0.9919594,0.0
0.1259032,0.32338673,0.29218918,0.41115692,0.44112504,0.42278874,0.12269562,0.35474834,0.72211206,0.9841379,0.9729443,0.8670793,0.006700097,0.0031477206,0.82412094,0.9891831,0.0
0.12593855,0.33710298,0.31996116,0.37622023,0.53830874,0.6904528,0.12337935,0.35479817,0.7255659,0.947012,0.8179968,0.6583141,0.007780237,0.0022365388,0.56694824,0.9724944,0.0
0.12610744,0.33421627,0.30376726,0.3960739,0.4802574,0.5597118,0.12370602,0.35503608,0.6829344,0.937866,0.8515872,0.77714974,0.007132667,0.0027323666,0.71048295,0.99023575,0.0
0.12612708,0.32665274,0.30131084,0.39925736,0.47172987,0.53444195,0.12304508,0.3550637,0.6605639,0.9766096,0.93754566,0.79623574,0.0070351455,0.002816977,0.73423934,0.99282324,0.0
0.12633523,0.32983965,0.29495338,0.40876874,0.44871244,0.45418066,0.12353129,0.3553567,0.66031367,0.96045685,0.9038274,0.848597,0.0067685884,0.003053957,0.80041313,0.9876039,0.0
0.1265159,0.33151343,0.29971856,0.40244484,0.4648251,0.51238114,0.123774394,0.3556108,0.6677581,0.95668215,0.8875459,0.8122765,0.0069372426,0.0028839048,0.75435597,0.9968758,0.0
0.12653553,0.3291858,0.30144423,0.4005086,0.4703231,0.5300697,0.12370222,0.35563838,0.6404943,0.9618737,0.9142999,0.79898274,0.0070024324,0.002823643,0.7376745,0.98966026,0.0
0.12659444,0.33517885,0.29938367,0.40309033,0.46341866,0.5076947,0.124249205,0.3557212,0.7073139,0.9341739,0.8481214,0.81564134,0.006917022,0.0028980875,0.75859314,0.998169,0.0
0.12666515,0.32437855,0.2990416,0.40403676,0.46162096,0.5016036,0.1235047,0.35582054,0.6714681,0.98033565,0.9727681,0.81899667,0.00689727,0.0029123726,0.7628245,0.99212015,0.0
0.12669262,0.32979682,0.29880214,0.40458012,0.46051863,0.49781108,0.12387695,0.35585916,0.7092478,0.960673,0.9096384,0.8211451,0.006885468,0.002921791,0.76553696,0.9890612,0.0
0.12670834,0.3285935,0.30136654,0.40074408,0.46988094,0.5286832,0.12369083,0.35588124,0.7269651,0.97212684,0.92371726,0.8011847,0.0069834543,0.0028311373,0.7404312,0.9994144,0.0
0.1267751,0.32564032,0.29525262,0.4095261,0.4482932,0.45252052,0.123918734,0.35597503,0.75549704,0.96287787,0.9593678,0.8503286,0.00674038,0.0030555774,0.8026266,0.9933706,0.0
0.12694791,0.32716855,0.29415607,0.4117828,0.4436958,0.43375567,0.12388835,0.35621765,0.73832005,0.9741932,0.94393563,0.8608814,0.006682368,0.0031026208,0.8161504,0.989522,0.0
0.12700683,0.32918936,0.29962415,0.4042726,0.46232286,0.50399554,0.124104865,0.3563003,0.73075193,0.9651663,0.9213042,0.8175835,0.006888593,0.0029011064,0.76104164,0.99367636,0.0
0.1270736,0.33098456,0.29944584,0.4047598,0.46139663,0.50083554,0.124287196,0.35639396,0.73494256,0.95853794,0.9017556,0.8196087,0.00687561,0.002909386,0.76359683,0.99289685,0.0
0.12712465,0.34016144,0.29995808,0.40435943,0.46278653,0.5055659,0.12461387,0.35646558,0.65550935,0.94292796,0.80246776,0.81605005,0.0068907547,0.0028924788,0.75910825,0.9898991,0.0
0.12715608,0.32385367,0.29653633,0.4089768,0.45114872,0.46366754,0.12386176,0.35650966,0.736579,0.9872593,0.9866751,0.84355044,0.0067556906,0.0030183876,0.79397154,0.9934105,0.0
0.12737994,0.32926896,0.29749283,0.40834382,0.4535586,0.4727925,0.12449612,0.35682344,0.6883862,0.9636592,0.9259611,0.83797395,0.0067724423,0.0029893022,0.7868693,0.9942288,0.0
0.12750562,0.32931426,0.30475545,0.39895967,0.47812474,0.55358225,0.12446573,0.35699952,0.6746001,0.97231877,0.92731446,0.78241086,0.007040953,0.0027367498,0.7170121,0.9951853,0.0
0.12769806,0.32687742,0.29967037,0.40644225,0.4596526,0.49480033,0.124754414,0.35726893,0.7387687,0.9666268,0.95873106,0.82363117,0.0068276245,0.0029189205,0.76867884,0.9929738,0.0
0.12771377,0.32820666,0.29942307,0.40670675,0.45889655,0.49214903,0.124632865,0.3572909,0.6549169,0.9743568,0.94331944,0.8257303,0.0068166927,0.0029282803,0.7713343,0.9957844,0.0
0.12771377,0.3299595,0.29882535,0.40759686,0.4567597,0.48453674,0.12475062,0.3572909,0.7678766,0.9677068,0.9229709,0.83046556,0.0067937016,0.002949956,0.7773328,0.9940265,0.0
0.12774126,0.33438352,0.3045868,0.40009576,0.4763244,0.54831153,0.12535079,0.35732937,0.6875428,0.9355157,0.87342787,0.78584594,0.0070128012,0.002748744,0.72128296,0.9910282,0.0
0.12794943,0.33118853,0.30723932,0.3971125,0.48494303,0.57276326,0.12497473,0.35762048,0.7289223,0.96804875,0.9123758,0.7676312,0.0070955846,0.0026662203,0.69870806,0.99514544,0.0
0.1279612,0.327165,0.30370206,0.40163633,0.47276342,0.5376159,0.124784805,0.35763696,0.6972044,0.9794107,0.9593113,0.79463553,0.006958696,0.002784723,0.7322402,0.9984596,0.0
0.12809475,0.33482426,0.29520544,0.4148498,0.4417846,0.42563653,0.12541156,0.3578236,0.8146172,0.95149773,0.8736669,0.86313236,0.0066206767,0.0030962476,0.81904286,0.97088206,0.0
0.12812224,0.33090547,0.31838325,0.38475698,0.52234596,0.6602067,0.12497853,0.357862,0.7205267,0.97734094,0.91816604,0.6883064,0.0075069694,0.002331361,0.6024621,0.9698238,0.0
0.12842073,0.32891083,0.30450064,0.40211508,0.47351876,0.5399153,0.12532799,0.35827875,0.68312573,0.9740623,0.94569093,0.7926894,0.006947517,0.0027698942,0.7298104,0.9962801,0.0
0.12844822,0.3296185,0.30295992,0.40430227,0.46802217,0.52278614,0.12543055,0.3583171,0.72103477,0.96980923,0.93785363,0.804812,0.0068860957,0.002823501,0.7449777,0.995015,0.0
0.12847963,0.3324337,0.29150978,0.42024964,0.42931524,0.36730063,0.12542675,0.35836095,0.7855166,0.97174466,0.90602046,0.89727587,0.006445443,0.0032533554,0.86324775,0.996039,0.0
0.12854247,0.33073926,0.2899524,0.42309144,0.42351767,0.3363743,0.12560149,0.3584486,0.6878486,0.96538705,0.9262944,0.910975,0.006380474,0.0033189782,0.8811588,0.9876612,0.0
0.12871921,0.33272132,0.30159852,0.40719178,0.46200213,0.5029047,0.1258066,0.35869503,0.7554012,0.96357363,0.9062718,0.8178894,0.0068097375,0.002878605,0.76142746,0.9902554,0.0
0.12872313,0.32727784,0.29774782,0.41225684,0.4491832,0.4560348,0.12558629,0.35870048,0.6990354,0.9761287,0.969499,0.84844106,0.0066624265,0.0030184595,0.80021393,0.995205,0.0
0.12880169,0.32789388,0.30476603,0.4031074,0.47268113,0.53736436,0.12569645,0.35880995,0.7098493,0.9742492,0.9633754,0.7941142,0.0069231777,0.002771099,0.7315892,0.9927805,0.0
0.12880561,0.32980487,0.30197117,0.40706143,0.46280357,0.5056234,0.12577242,0.35881546,0.7897124,0.97020876,0.9410126,0.8157686,0.0068162275,0.002867836,0.75875354,0.987963,0.0
0.1288174,0.32925335,0.29758602,0.41291532,0.44811028,0.4517935,0.12568125,0.35883185,0.6139452,0.9759605,0.9476199,0.8506162,0.0066479393,0.0030272007,0.80299443,0.9921977,0.0
0.12893522,0.33145553,0.2998788,0.41050315,0.45493704,0.47790125,0.12593575,0.358996,0.75421536,0.9681521,0.9238682,0.8334114,0.006724925,0.0029461978,0.78107077,0.98367715,0.0
0.12896271,0.33704102,0.29555637,0.4164942,0.440418,0.41970918,0.12620544,0.35903427,0.796449,0.9546081,0.8617794,0.86840284,0.0065578306,0.0031083052,0.82582575,0.9860477,0.0
0.12901376,0.33447972,0.31222668,0.39472443,0.4969812,0.6039059,0.12628143,0.35910535,0.61520046,0.9531616,0.89078754,0.74017745,0.0071881567,0.0025350584,0.6650174,0.97830945,0.0
0.12909624,0.33015144,0.29819864,0.41271606,0.44938424,0.45682377,0.1261029,0.35922018,0.7267366,0.96760213,0.9413073,0.84828466,0.006646733,0.0030123899,0.80001414,0.99774355,0.0
0.12915516,0.33227503,0.3072797,0.4008456,0.48000613,0.5589959,0.12620544,0.35930216,0.740978,0.9650917,0.9177301,0.7781838,0.0069869724,0.0026964017,0.71176517,0.99419504,0.0
0.12929262,0.33826098,0.2964864,0.41584957,0.4427376,0.42970958,0.12677902,0.35949337,0.716225,0.94071496,0.85321045,0.86391443,0.0065644346,0.0030823888,0.8200485,0.9951016,0.0
0.12931225,0.33072263,0.30465493,0.4049796,0.4700616,0.5292504,0.12630801,0.35952067,0.68633664,0.9679301,0.93788576,0.79959357,0.0068730526,0.0027885586,0.738439,0.98986876,0.0
0.12934761,0.33654088,0.2996206,0.4118056,0.45289546,0.4703065,0.12687398,0.35956985,0.71215254,0.93844646,0.87275374,0.83925724,0.0066786828,0.002967194,0.7885024,0.99204934,0.0
0.12939866,0.33655798,0.28376356,0.43495065,0.40063685,0.17571907,0.12662709,0.3596408,0.675517,0.9548856,0.8732957,0.97279936,0.0060721734,0.0036145682,0.96324,0.9931863,0.0
0.12941436,0.34664658,0.30671346,0.40293643,0.47626474,0.54813534,0.12734121,0.35966265,0.69315165,0.9163348,0.7673751,0.7847982,0.0069420612,0.0027219295,0.71997976,0.98149437,0.0
0.12955968,0.34087268,0.30414537,0.40653545,0.46718934,0.5201081,0.1271019,0.3598646,0.6799553,0.93735033,0.8289959,0.8057591,0.0068316213,0.0028126722,0.7461658,0.9875516,0.0
0.12963039,0.33733267,0.30248874,0.40885183,0.46142626,0.50093704,0.1270905,0.3599628,0.6488151,0.94180304,0.8681056,0.8192591,0.0067625497,0.0028722577,0.76315564,0.99065053,0.0
0.1296461,0.33535868,0.30444252,0.40591115,0.46849802,0.5243062,0.12677142,0.3599846,0.76001364,0.96030474,0.890117,0.8042497,0.0068351957,0.0028047834,0.74427235,0.99909914,0.0
0.12965788,0.32872698,0.30283266,0.4083871,0.46259695,0.5049247,0.12644856,0.36000097,0.7542138,0.97889847,0.9663868,0.81682783,0.0067731487,0.002860929,0.76008874,0.9926501,0.0
0.12968144,0.33024764,0.30373728,0.4072426,0.46558976,0.5149006,0.12664227,0.36003372,0.67233026,0.96939397,0.94888103,0.8100173,0.006805334,0.0028300488,0.7515143,0.9926844,0.0
0.12980711,0.3339589,0.2962945,0.41804874,0.43981194,0.4170471,0.12695755,0.36020815,0.71607107,0.95871717,0.90814036,0.87025785,0.006512513,0.0031046893,0.82821655,0.9889645,0.0
0.1298346,0.33015093,0.3037314,0.4080589,0.46454293,0.5114464,0.1265663,0.36024633,0.7847401,0.98193973,0.9522858,0.8114513,0.006791534,0.0028343962,0.7533178,0.9851423,0.0
0.12985031,0.3364245,0.30047387,0.41219583,0.45385617,0.4739022,0.12701833,0.36026815,0.71843666,0.9576918,0.88122827,0.8371062,0.0066668997,0.0029502816,0.7857657,0.9928912,0.0
0.12991317,0.33213803,0.31877467,0.38861102,0.51734394,0.64997154,0.12661569,0.36035535,0.74757713,0.98345447,0.93042356,0.70108354,0.007353446,0.002362198,0.6177376,0.9951758,0.0
0.12991317,0.32849023,0.29959103,0.4134424,0.45084405,0.46249565,0.1265929,0.36035535,0.69834864,0.98472434,0.97302115,0.844693,0.006628015,0.0029842136,0.79542893,0.99673927,0.0
0.12995636,0.334384,0.29410782,0.42181596,0.43180817,0.3797868,0.1271209,0.36041528,0.7047593,0.95775664,0.90551215,0.88958687,0.006416971,0.003194112,0.85323846,0.9851142,0.0
0.12996028,0.32929364,0.30909243,0.40112567,0.48277646,0.5667978,0.12668785,0.3604207,0.68850124,0.98199356,0.96422166,0.77175736,0.0069830716,0.0026580624,0.7038063,0.990764,0.0
0.13016845,0.32656157,0.30113325,0.4121003,0.4550863,0.47844955,0.12678282,0.36070934,0.6905071,0.98799866,1.0,0.8348038,0.006663997,0.002935336,0.7828393,0.99747884,0.0
0.13023129,0.32928962,0.3010219,0.4126286,0.4542484,0.4753591,0.12692717,0.36079642,0.7488316,0.98337525,0.9506455,0.8362569,0.006654311,0.0029410936,0.78468585,0.99344987,0.0
0.13026664,0.3427988,0.3170902,0.39220092,0.50914025,0.63230926,0.12740958,0.3608454,0.66239583,0.95857394,0.8035646,0.7160638,0.007257203,0.0024192967,0.63575804,0.9841296,0.0
0.13027841,0.3295601,0.3007642,0.41345683,0.45279947,0.46994513,0.12698035,0.36086172,0.75566983,0.98297274,0.9482019,0.83872485,0.006640486,0.0029517135,0.78782475,0.98605275,0.0
0.13036875,0.33475828,0.31437367,0.39546767,0.49972317,0.6105613,0.12732601,0.36098686,0.70247084,0.96870124,0.8907083,0.7364656,0.0071454686,0.0025027513,0.6604933,0.99446875,0.0
0.1305337,0.33280897,0.28534,0.4364239,0.40161812,0.18450522,0.12767167,0.36121523,0.6850557,0.95852524,0.91480994,0.969853,0.006037806,0.0035808631,0.95928186,0.9914491,0.0
0.13058083,0.33244628,0.31256172,0.39838833,0.49251089,0.5927192,0.12729183,0.36128044,0.7473858,0.98204654,0.91957897,0.7515358,0.007058056,0.002563639,0.6789072,0.994965,0.0
0.13059261,0.33188918,0.2942653,0.42350373,0.43013567,0.37146017,0.12749694,0.36129677,0.65179247,0.97133493,0.92606145,0.8942279,0.006368716,0.003206827,0.85927635,0.9884913,0.0
0.1306908,0.3548231,0.31772983,0.3924677,0.5098916,0.63397455,0.12860611,0.3614326,0.6573018,0.9158501,0.6914748,0.71518457,0.007242429,0.002410656,0.634697,0.989368,0.0
0.1308479,0.33774468,0.31019068,0.4024099,0.48296532,0.5673225,0.12800594,0.36164984,0.7311573,0.9570448,0.86481875,0.7714268,0.0069450303,0.0026453044,0.7033975,0.9913918,0.0
0.13085969,0.33674437,0.30450478,0.4101421,0.46322685,0.5070502,0.1281313,0.36166614,0.77433133,0.95080155,0.8758369,0.8147244,0.006730524,0.0028352283,0.7574378,0.98734367,0.0
0.13088325,0.33968192,0.3028917,0.41209665,0.45805794,0.48918256,0.12801354,0.36169872,0.7837571,0.9585261,0.84456074,0.8274867,0.00666792,0.002892283,0.77355784,0.9943114,0.0
0.13090289,0.329277,0.30361542,0.41143513,0.46010223,0.49636707,0.12755392,0.36172587,0.7555013,0.9849129,0.9606419,0.82201684,0.006693374,0.0028673527,0.7666383,0.988371,0.0
0.13091467,0.3421143,0.29843298,0.41857642,0.4427435,0.42973465,0.12851875,0.36174214,0.6977807,0.9325752,0.8194306,0.86317134,0.0064978735,0.0030555606,0.8190929,0.9893944,0.0
0.1309343,0.33196023,0.3143131,0.39727813,0.49709976,0.6041969,0.12777804,0.3617693,0.71227735,0.9742284,0.9301858,0.74184257,0.0070920163,0.002518395,0.6670495,0.99406916,0.0
0.13095787,0.3331716,0.30491194,0.40977693,0.46437752,0.51089716,0.12797935,0.36180183,0.6691901,0.9644121,0.9168092,0.81246066,0.006737225,0.0028238024,0.75458765,0.99020594,0.0
0.1311071,0.33212695,0.30159858,0.41467148,0.45271787,0.46963757,0.1281237,0.362008,0.7281705,0.9644952,0.9307807,0.8396788,0.0066000493,0.002944576,0.78903896,0.9920774,0.0
0.13117388,0.33477992,0.29982525,0.41721392,0.44668216,0.44606346,0.12820727,0.3621002,0.66320264,0.9634897,0.9018929,0.85437316,0.006527882,0.003011094,0.8078029,0.994879,0.0
0.13126029,0.32979482,0.29709676,0.4214211,0.43719405,0.40530208,0.12797555,0.36221948,0.669295,0.9808674,0.9598438,0.87717414,0.0064183697,0.0031161385,0.8371471,0.9927406,0.0
0.13126814,0.33192647,0.3033554,0.41263002,0.45817906,0.48961273,0.12803634,0.36223033,0.70016736,0.97794217,0.93538857,0.8273418,0.0066519314,0.0028863922,0.7733743,0.99539214,0.0
0.13128385,0.33523777,0.30884406,0.40533683,0.47678727,0.5496752,0.12834781,0.36225203,0.6406877,0.96167797,0.89836895,0.7853799,0.0068559586,0.002700169,0.72070324,0.9954882,0.0
0.1312917,0.33170936,0.3104993,0.4033201,0.4822885,0.5654381,0.12805912,0.36226285,0.76051515,0.9779527,0.9382097,0.77304405,0.0069172033,0.0026466446,0.705398,0.9926569,0.0
0.13129956,0.33585784,0.29758853,0.42067134,0.43888015,0.41291302,0.12834401,0.3622737,0.7507531,0.9627275,0.891738,0.87353843,0.0064334427,0.003098495,0.8324493,0.99674433,0.0
0.13130742,0.33107674,0.30448484,0.4117278,0.46120608,0.50018156,0.12804013,0.36228454,0.7124691,0.9798416,0.9456958,0.8189074,0.006690791,0.00284794,0.7627118,0.9838171,0.0
0.13135847,0.33043605,0.30344456,0.4132289,0.4575886,0.4875108,0.12805912,0.362355,0.68354297,0.9815372,0.95383346,0.8274606,0.006647457,0.0028857014,0.7735247,0.98545593,0.0
0.1313624,0.33463436,0.30599552,0.4099337,0.4660178,0.51630247,0.12835541,0.36236042,0.69129515,0.9654688,0.9061896,0.80774546,0.006742517,0.002797445,0.7486596,0.9822559,0.0
0.13140953,0.3301021,0.2965362,0.42254648,0.43496674,0.3949804,0.12825665,0.36242545,0.7430322,0.9734132,0.95845115,0.88312405,0.006384783,0.003142027,0.84485,0.99613005,0.0
0.13144487,0.33240548,0.30375046,0.4125719,0.4589169,0.49222055,0.12819207,0.36247417,0.76239985,0.97885734,0.9324758,0.8258531,0.0066514285,0.002877286,0.77148956,0.9971349,0.0
0.1315627,0.3311644,0.30845818,0.40683708,0.47417516,0.54190004,0.12818068,0.36263666,0.72754854,0.9858035,0.9483895,0.7907647,0.0068170503,0.0027200622,0.7274098,0.9924776,0.0
0.13170409,0.3309347,0.2961502,0.4239588,0.43270886,0.38418856,0.128363,0.36283153,0.7340131,0.9833532,0.9530913,0.8890047,0.006345586,0.0031655761,0.8524821,0.9980813,0.0
0.1317198,0.33154768,0.3078905,0.4082021,0.47144628,0.53356534,0.1283896,0.36285317,0.66006637,0.9827338,0.94625396,0.79646015,0.006782138,0.002742966,0.7345197,0.98953944,0.0
0.13172373,0.33363,0.30269957,0.4152809,0.4538197,0.47376633,0.12882642,0.3628586,0.6721249,0.95902646,0.92259985,0.8365913,0.0065881982,0.0029220528,0.7851111,0.98813725,0.0
0.13175514,0.32914406,0.28925988,0.4342466,0.41017362,0.25230858,0.12851115,0.36290187,0.73422456,0.97795314,0.97470367,0.94738567,0.0060843886,0.003448356,0.9292523,0.9977638,0.0
0.13180621,0.33707577,0.3084556,0.40801203,0.47265354,0.5372799,0.12875804,0.3629722,0.59361887,0.9671632,0.8854778,0.7929421,0.0067956694,0.0027264361,0.73012596,0.98283696,0.0
0.13186905,0.335605,0.30392477,0.4136776,0.45784238,0.48841566,0.128872,0.36305875,0.6641718,0.9642922,0.9025689,0.82831067,0.006621399,0.0028826266,0.7746015,0.99688876,0.0
0.13189654,0.33128074,0.30002978,0.41908443,0.44479245,0.43832776,0.1286479,0.36309662,0.7076291,0.97801673,0.951887,0.8593275,0.006473964,0.0030238375,0.8141554,0.99810606,0.0
0.13190046,0.33183178,0.30276948,0.41561535,0.45352897,0.47268197,0.12870868,0.36310205,0.6199881,0.9748983,0.94560206,0.8376372,0.0065756734,0.002924387,0.78644097,0.9910136,0.0
0.13199079,0.34760916,0.2906286,0.43337372,0.4133023,0.2739766,0.12976466,0.36322638,0.6931551,0.9223492,0.77780724,0.93787867,0.0061160717,0.0033976224,0.91662645,0.98907745,0.0
