dim0,dim1,dim2,dim3,dim4,dim5,dim6,y
-63.0,-55.0,-62.0,-66.0,-76.0,-89.0,-85.0,0.0
-64.0,-56.0,-69.0,-64.0,-73.0,-89.0,-85.0,0.0
-60.0,-57.0,-60.0,-66.0,-76.0,-82.0,-80.0,0.0
-64.0,-58.0,-59.0,-61.0,-70.0,-84.0,-86.0,0.0
-62.0,-55.0,-57.0,-62.0,-70.0,-82.0,-86.0,0.0
-65.0,-54.0,-57.0,-66.0,-70.0,-82.0,-80.0,0.0
-61.0,-56.0,-53.0,-62.0,-63.0,-84.0,-91.0,0.0
-65.0,-56.0,-55.0,-65.0,-68.0,-85.0,-93.0,0.0
-65.0,-55.0,-55.0,-67.0,-63.0,-82.0,-89.0,0.0
-59.0,-57.0,-62.0,-61.0,-68.0,-80.0,-83.0,0.0
-65.0,-59.0,-65.0,-63.0,-68.0,-80.0,-83.0,0.0
-63.0,-58.0,-62.0,-71.0,-74.0,-92.0,-94.0,0.0
-63.0,-59.0,-61.0,-62.0,-78.0,-90.0,-82.0,0.0
-65.0,-60.0,-67.0,-66.0,-68.0,-84.0,-89.0,0.0
-65.0,-58.0,-67.0,-67.0,-70.0,-87.0,-84.0,0.0
-65.0,-58.0,-70.0,-66.0,-71.0,-85.0,-83.0,0.0
-65.0,-59.0,-65.0,-67.0,-89.0,-85.0,-83.0,0.0
-63.0,-58.0,-64.0,-66.0,-70.0,-81.0,-91.0,0.0
-61.0,-54.0,-56.0,-59.0,-68.0,-82.0,-83.0,0.0
-59.0,-54.0,-59.0,-59.0,-67.0,-86.0,-80.0,0.0
-62.0,-56.0,-56.0,-61.0,-68.0,-81.0,-86.0,0.0
-61.0,-51.0,-58.0,-62.0,-71.0,-80.0,-84.0,0.0
-59.0,-54.0,-56.0,-62.0,-67.0,-81.0,-82.0,0.0
-58.0,-54.0,-58.0,-62.0,-75.0,-81.0,-81.0,0.0
-57.0,-53.0,-59.0,-64.0,-71.0,-80.0,-79.0,0.0
-63.0,-55.0,-62.0,-63.0,-70.0,-80.0,-75.0,0.0
-62.0,-54.0,-56.0,-64.0,-75.0,-88.0,-85.0,0.0
-62.0,-58.0,-57.0,-62.0,-72.0,-81.0,-81.0,0.0
-62.0,-58.0,-57.0,-65.0,-68.0,-83.0,-79.0,0.0
-65.0,-50.0,-51.0,-57.0,-70.0,-80.0,-79.0,0.0
-63.0,-48.0,-51.0,-59.0,-69.0,-77.0,-82.0,0.0
-63.0,-51.0,-50.0,-63.0,-67.0,-83.0,-79.0,0.0
-61.0,-53.0,-54.0,-58.0,-71.0,-82.0,-86.0,0.0
-56.0,-53.0,-58.0,-64.0,-71.0,-84.0,-87.0,0.0
-58.0,-54.0,-62.0,-66.0,-76.0,-83.0,-86.0,0.0
-62.0,-60.0,-64.0,-74.0,-76.0,-81.0,-91.0,0.0
-64.0,-59.0,-68.0,-67.0,-74.0,-82.0,-82.0,0.0
-66.0,-59.0,-70.0,-69.0,-76.0,-87.0,-89.0,0.0
-64.0,-59.0,-65.0,-64.0,-74.0,-88.0,-90.0,0.0
-64.0,-54.0,-65.0,-63.0,-71.0,-85.0,-89.0,0.0
-63.0,-57.0,-65.0,-71.0,-75.0,-82.0,-86.0,0.0
-62.0,-56.0,-64.0,-69.0,-75.0,-81.0,-84.0,0.0
-63.0,-58.0,-65.0,-66.0,-78.0,-81.0,-88.0,0.0
-63.0,-58.0,-65.0,-66.0,-73.0,-86.0,-89.0,0.0
-65.0,-60.0,-65.0,-66.0,-73.0,-84.0,-93.0,0.0
-63.0,-58.0,-64.0,-67.0,-74.0,-87.0,-87.0,0.0
-64.0,-59.0,-66.0,-63.0,-74.0,-87.0,-87.0,0.0
-64.0,-54.0,-56.0,-65.0,-74.0,-85.0,-87.0,0.0
-62.0,-55.0,-63.0,-61.0,-68.0,-81.0,-83.0,0.0
-60.0,-54.0,-57.0,-66.0,-64.0,-81.0,-83.0,0.0
-59.0,-55.0,-65.0,-62.0,-62.0,-81.0,-77.0,0.0
-63.0,-52.0,-56.0,-59.0,-66.0,-80.0,-80.0,0.0
-60.0,-59.0,-58.0,-63.0,-72.0,-82.0,-79.0,0.0
-62.0,-55.0,-61.0,-60.0,-63.0,-84.0,-80.0,0.0
-62.0,-51.0,-58.0,-61.0,-63.0,-77.0,-80.0,0.0
-56.0,-50.0,-56.0,-62.0,-61.0,-79.0,-85.0,0.0
-62.0,-51.0,-53.0,-60.0,-67.0,-78.0,-85.0,0.0
-58.0,-55.0,-58.0,-61.0,-67.0,-78.0,-80.0,0.0
-60.0,-53.0,-60.0,-62.0,-73.0,-81.0,-82.0,0.0
-60.0,-53.0,-59.0,-64.0,-70.0,-80.0,-90.0,0.0
-60.0,-56.0,-58.0,-65.0,-70.0,-80.0,-87.0,0.0
-59.0,-54.0,-59.0,-64.0,-74.0,-80.0,-81.0,0.0
-62.0,-55.0,-58.0,-68.0,-69.0,-83.0,-88.0,0.0
-62.0,-58.0,-59.0,-66.0,-68.0,-87.0,-88.0,0.0
-63.0,-58.0,-56.0,-66.0,-73.0,-87.0,-83.0,0.0
-56.0,-47.0,-56.0,-61.0,-67.0,-78.0,-88.0,0.0
-62.0,-51.0,-54.0,-59.0,-64.0,-77.0,-81.0,0.0
-62.0,-51.0,-61.0,-71.0,-67.0,-79.0,-80.0,0.0
-58.0,-54.0,-58.0,-58.0,-67.0,-84.0,-88.0,0.0
-57.0,-54.0,-56.0,-56.0,-68.0,-79.0,-82.0,0.0
-56.0,-54.0,-58.0,-62.0,-68.0,-77.0,-81.0,0.0
-60.0,-58.0,-62.0,-61.0,-62.0,-81.0,-84.0,0.0
-60.0,-55.0,-58.0,-57.0,-75.0,-74.0,-82.0,0.0
-61.0,-56.0,-57.0,-56.0,-75.0,-74.0,-81.0,0.0
-58.0,-55.0,-59.0,-58.0,-72.0,-77.0,-81.0,0.0
-59.0,-49.0,-53.0,-59.0,-62.0,-81.0,-83.0,0.0
-60.0,-52.0,-51.0,-59.0,-73.0,-79.0,-81.0,0.0
-57.0,-56.0,-56.0,-61.0,-70.0,-77.0,-77.0,0.0
-57.0,-57.0,-59.0,-61.0,-67.0,-80.0,-83.0,0.0
-62.0,-50.0,-61.0,-64.0,-73.0,-80.0,-81.0,0.0
-62.0,-54.0,-62.0,-68.0,-80.0,-80.0,-78.0,0.0
-63.0,-57.0,-63.0,-64.0,-73.0,-86.0,-81.0,0.0
-62.0,-57.0,-54.0,-66.0,-71.0,-81.0,-83.0,0.0
-61.0,-55.0,-59.0,-58.0,-66.0,-79.0,-78.0,0.0
-60.0,-59.0,-56.0,-63.0,-64.0,-82.0,-81.0,0.0
-56.0,-53.0,-64.0,-61.0,-72.0,-84.0,-81.0,0.0
-57.0,-53.0,-56.0,-58.0,-68.0,-75.0,-80.0,0.0
-60.0,-55.0,-60.0,-59.0,-67.0,-81.0,-87.0,0.0
-62.0,-56.0,-57.0,-63.0,-69.0,-87.0,-91.0,0.0
-58.0,-59.0,-56.0,-64.0,-68.0,-82.0,-87.0,0.0
-63.0,-56.0,-61.0,-61.0,-68.0,-83.0,-87.0,0.0
-64.0,-57.0,-63.0,-59.0,-69.0,-82.0,-86.0,0.0
-64.0,-61.0,-62.0,-65.0,-70.0,-85.0,-87.0,0.0
-61.0,-58.0,-60.0,-61.0,-74.0,-78.0,-83.0,0.0
-65.0,-56.0,-63.0,-66.0,-80.0,-83.0,-88.0,0.0
-62.0,-56.0,-63.0,-66.0,-74.0,-82.0,-80.0,0.0
-62.0,-49.0,-59.0,-63.0,-62.0,-80.0,-79.0,0.0
-58.0,-54.0,-52.0,-61.0,-74.0,-75.0,-82.0,0.0
-62.0,-52.0,-57.0,-60.0,-70.0,-81.0,-74.0,0.0
-65.0,-53.0,-53.0,-57.0,-64.0,-87.0,-80.0,0.0
-59.0,-51.0,-58.0,-57.0,-64.0,-76.0,-85.0,0.0
-57.0,-54.0,-59.0,-63.0,-65.0,-80.0,-80.0,0.0
-62.0,-50.0,-57.0,-59.0,-72.0,-82.0,-84.0,0.0
-56.0,-51.0,-62.0,-62.0,-71.0,-77.0,-82.0,0.0
-57.0,-56.0,-58.0,-58.0,-66.0,-85.0,-80.0,0.0
-58.0,-54.0,-61.0,-59.0,-68.0,-78.0,-76.0,0.0
-62.0,-56.0,-61.0,-65.0,-74.0,-78.0,-76.0,0.0
-60.0,-54.0,-61.0,-65.0,-70.0,-82.0,-88.0,0.0
-62.0,-63.0,-62.0,-65.0,-68.0,-87.0,-86.0,0.0
-62.0,-57.0,-61.0,-64.0,-68.0,-82.0,-82.0,0.0
-60.0,-58.0,-57.0,-65.0,-69.0,-80.0,-89.0,0.0
-62.0,-56.0,-59.0,-68.0,-74.0,-95.0,-84.0,0.0
-60.0,-53.0,-59.0,-64.0,-65.0,-76.0,-81.0,0.0
-60.0,-54.0,-57.0,-60.0,-66.0,-80.0,-88.0,0.0
-59.0,-55.0,-61.0,-65.0,-68.0,-84.0,-84.0,0.0
-58.0,-49.0,-55.0,-60.0,-70.0,-78.0,-80.0,0.0
-62.0,-49.0,-56.0,-63.0,-67.0,-78.0,-80.0,0.0
-63.0,-48.0,-54.0,-65.0,-67.0,-82.0,-80.0,0.0
-57.0,-56.0,-54.0,-69.0,-75.0,-83.0,-81.0,0.0
-62.0,-55.0,-59.0,-63.0,-72.0,-76.0,-87.0,0.0
-61.0,-50.0,-59.0,-67.0,-65.0,-79.0,-86.0,0.0
-66.0,-56.0,-54.0,-69.0,-65.0,-82.0,-82.0,0.0
-63.0,-54.0,-55.0,-67.0,-71.0,-82.0,-87.0,0.0
-60.0,-57.0,-58.0,-64.0,-70.0,-84.0,-79.0,0.0
-61.0,-56.0,-58.0,-67.0,-68.0,-80.0,-81.0,0.0
-61.0,-62.0,-64.0,-65.0,-73.0,-81.0,-90.0,0.0
-66.0,-58.0,-58.0,-68.0,-73.0,-85.0,-78.0,0.0
-66.0,-56.0,-57.0,-66.0,-73.0,-84.0,-87.0,0.0
-63.0,-54.0,-55.0,-64.0,-72.0,-84.0,-81.0,0.0
-58.0,-53.0,-58.0,-64.0,-73.0,-82.0,-82.0,0.0
-58.0,-48.0,-59.0,-59.0,-64.0,-84.0,-77.0,0.0
-56.0,-55.0,-59.0,-68.0,-74.0,-84.0,-79.0,0.0
-59.0,-54.0,-63.0,-72.0,-75.0,-81.0,-78.0,0.0
-58.0,-56.0,-61.0,-66.0,-75.0,-84.0,-78.0,0.0
-61.0,-54.0,-57.0,-67.0,-67.0,-82.0,-84.0,0.0
-62.0,-56.0,-67.0,-63.0,-68.0,-82.0,-86.0,0.0
-59.0,-54.0,-56.0,-65.0,-74.0,-79.0,-85.0,0.0
-58.0,-59.0,-59.0,-65.0,-65.0,-82.0,-94.0,0.0
-63.0,-54.0,-61.0,-66.0,-73.0,-84.0,-88.0,0.0
-63.0,-57.0,-58.0,-62.0,-73.0,-86.0,-85.0,0.0
-64.0,-52.0,-63.0,-62.0,-71.0,-84.0,-79.0,0.0
-62.0,-57.0,-58.0,-65.0,-71.0,-87.0,-86.0,0.0
-57.0,-56.0,-60.0,-58.0,-70.0,-79.0,-84.0,0.0
-57.0,-54.0,-57.0,-61.0,-62.0,-80.0,-79.0,0.0
-63.0,-59.0,-65.0,-62.0,-65.0,-83.0,-80.0,0.0
-62.0,-59.0,-61.0,-59.0,-69.0,-82.0,-83.0,0.0
-56.0,-56.0,-62.0,-64.0,-70.0,-79.0,-86.0,0.0
-57.0,-52.0,-60.0,-61.0,-66.0,-81.0,-85.0,0.0
-59.0,-55.0,-58.0,-61.0,-67.0,-77.0,-79.0,0.0
-57.0,-56.0,-59.0,-59.0,-64.0,-79.0,-78.0,0.0
-58.0,-58.0,-61.0,-59.0,-69.0,-81.0,-80.0,0.0
-62.0,-58.0,-57.0,-58.0,-69.0,-94.0,-77.0,0.0
-59.0,-60.0,-60.0,-62.0,-67.0,-94.0,-77.0,0.0
-62.0,-55.0,-58.0,-62.0,-67.0,-81.0,-77.0,0.0
-59.0,-54.0,-60.0,-60.0,-66.0,-83.0,-78.0,0.0
-63.0,-55.0,-63.0,-62.0,-68.0,-89.0,-85.0,0.0
-63.0,-59.0,-61.0,-61.0,-66.0,-79.0,-80.0,0.0
-59.0,-57.0,-59.0,-64.0,-73.0,-79.0,-84.0,0.0
-62.0,-53.0,-61.0,-59.0,-74.0,-84.0,-81.0,0.0
-58.0,-51.0,-59.0,-65.0,-74.0,-86.0,-82.0,0.0
-60.0,-55.0,-58.0,-61.0,-72.0,-83.0,-82.0,0.0
-63.0,-57.0,-57.0,-65.0,-75.0,-83.0,-76.0,0.0
-64.0,-57.0,-56.0,-63.0,-68.0,-85.0,-81.0,0.0
-59.0,-57.0,-63.0,-66.0,-65.0,-82.0,-78.0,0.0
-63.0,-60.0,-58.0,-64.0,-66.0,-83.0,-90.0,0.0
-65.0,-56.0,-60.0,-66.0,-74.0,-89.0,-90.0,0.0
-61.0,-56.0,-63.0,-62.0,-73.0,-87.0,-91.0,0.0
-62.0,-59.0,-61.0,-66.0,-75.0,-86.0,-80.0,0.0
-63.0,-52.0,-61.0,-64.0,-75.0,-80.0,-83.0,0.0
-58.0,-51.0,-59.0,-63.0,-69.0,-81.0,-80.0,0.0
-61.0,-56.0,-65.0,-65.0,-66.0,-77.0,-81.0,0.0
-61.0,-56.0,-62.0,-67.0,-66.0,-81.0,-88.0,0.0
-59.0,-55.0,-63.0,-67.0,-66.0,-82.0,-86.0,0.0
-62.0,-55.0,-65.0,-59.0,-69.0,-86.0,-87.0,0.0
-61.0,-54.0,-64.0,-59.0,-68.0,-86.0,-88.0,0.0
-61.0,-56.0,-65.0,-59.0,-68.0,-86.0,-88.0,0.0
-61.0,-57.0,-65.0,-59.0,-67.0,-86.0,-87.0,0.0
-60.0,-57.0,-66.0,-60.0,-68.0,-87.0,-89.0,0.0
-61.0,-59.0,-63.0,-60.0,-69.0,-87.0,-88.0,0.0
-63.0,-58.0,-66.0,-63.0,-68.0,-87.0,-83.0,0.0
-63.0,-57.0,-59.0,-66.0,-71.0,-82.0,-83.0,0.0
-59.0,-52.0,-61.0,-61.0,-76.0,-75.0,-78.0,0.0
-65.0,-62.0,-60.0,-65.0,-68.0,-83.0,-82.0,0.0
-66.0,-53.0,-58.0,-63.0,-69.0,-81.0,-80.0,0.0
-66.0,-53.0,-59.0,-62.0,-69.0,-81.0,-79.0,0.0
-60.0,-56.0,-62.0,-61.0,-69.0,-82.0,-81.0,0.0
-56.0,-50.0,-58.0,-63.0,-68.0,-83.0,-83.0,0.0
-59.0,-59.0,-58.0,-62.0,-64.0,-78.0,-81.0,0.0
-60.0,-57.0,-58.0,-66.0,-65.0,-77.0,-80.0,0.0
-59.0,-56.0,-58.0,-68.0,-62.0,-80.0,-81.0,0.0
-59.0,-54.0,-57.0,-65.0,-62.0,-80.0,-82.0,0.0
-58.0,-53.0,-61.0,-62.0,-64.0,-78.0,-81.0,0.0
-59.0,-60.0,-61.0,-66.0,-66.0,-81.0,-85.0,0.0
-56.0,-58.0,-60.0,-59.0,-66.0,-80.0,-77.0,0.0
-57.0,-59.0,-58.0,-66.0,-67.0,-78.0,-82.0,0.0
-62.0,-53.0,-58.0,-65.0,-67.0,-82.0,-84.0,0.0
-60.0,-59.0,-61.0,-62.0,-68.0,-81.0,-85.0,0.0
-61.0,-57.0,-63.0,-67.0,-72.0,-77.0,-82.0,0.0
-61.0,-55.0,-62.0,-62.0,-65.0,-82.0,-81.0,0.0
-57.0,-55.0,-58.0,-64.0,-65.0,-87.0,-79.0,0.0
-61.0,-52.0,-54.0,-63.0,-64.0,-84.0,-82.0,0.0
-61.0,-54.0,-54.0,-67.0,-60.0,-81.0,-83.0,0.0
-59.0,-57.0,-53.0,-61.0,-63.0,-79.0,-87.0,0.0
-62.0,-54.0,-55.0,-61.0,-63.0,-84.0,-81.0,0.0
-62.0,-54.0,-58.0,-64.0,-65.0,-77.0,-85.0,0.0
-59.0,-54.0,-58.0,-59.0,-63.0,-81.0,-80.0,0.0
-58.0,-55.0,-58.0,-61.0,-64.0,-81.0,-84.0,0.0
-61.0,-54.0,-64.0,-63.0,-68.0,-83.0,-81.0,0.0
-62.0,-57.0,-61.0,-63.0,-65.0,-83.0,-82.0,0.0
-67.0,-56.0,-65.0,-68.0,-69.0,-83.0,-82.0,0.0
-63.0,-57.0,-60.0,-64.0,-72.0,-80.0,-78.0,0.0
-62.0,-57.0,-63.0,-67.0,-66.0,-87.0,-80.0,0.0
-63.0,-57.0,-66.0,-66.0,-68.0,-83.0,-81.0,0.0
-62.0,-57.0,-59.0,-72.0,-73.0,-86.0,-82.0,0.0
-64.0,-66.0,-54.0,-67.0,-70.0,-83.0,-82.0,0.0
-62.0,-63.0,-57.0,-69.0,-71.0,-82.0,-82.0,0.0
-64.0,-64.0,-58.0,-75.0,-68.0,-82.0,-80.0,0.0
-64.0,-62.0,-57.0,-69.0,-67.0,-77.0,-81.0,0.0
-63.0,-63.0,-57.0,-68.0,-71.0,-79.0,-82.0,0.0
-61.0,-55.0,-58.0,-67.0,-69.0,-84.0,-86.0,0.0
-65.0,-51.0,-59.0,-61.0,-66.0,-81.0,-84.0,0.0
-61.0,-58.0,-60.0,-64.0,-73.0,-81.0,-82.0,0.0
-64.0,-55.0,-62.0,-66.0,-65.0,-85.0,-81.0,0.0
-62.0,-59.0,-59.0,-64.0,-65.0,-80.0,-81.0,0.0
-59.0,-55.0,-56.0,-64.0,-69.0,-83.0,-84.0,0.0
-64.0,-56.0,-60.0,-61.0,-67.0,-78.0,-85.0,0.0
-60.0,-56.0,-56.0,-64.0,-67.0,-84.0,-85.0,0.0
-58.0,-54.0,-59.0,-62.0,-68.0,-79.0,-87.0,0.0
-59.0,-52.0,-61.0,-57.0,-69.0,-83.0,-78.0,0.0
-56.0,-55.0,-56.0,-59.0,-64.0,-83.0,-83.0,0.0
-60.0,-56.0,-56.0,-63.0,-65.0,-80.0,-83.0,0.0
-59.0,-53.0,-64.0,-60.0,-68.0,-82.0,-81.0,0.0
-58.0,-52.0,-64.0,-64.0,-66.0,-88.0,-83.0,0.0
-59.0,-51.0,-64.0,-57.0,-69.0,-80.0,-80.0,0.0
-58.0,-50.0,-59.0,-58.0,-68.0,-80.0,-81.0,0.0
-61.0,-53.0,-53.0,-61.0,-63.0,-77.0,-81.0,0.0
-58.0,-50.0,-55.0,-54.0,-61.0,-84.0,-87.0,0.0
-60.0,-58.0,-56.0,-65.0,-68.0,-79.0,-86.0,0.0
-62.0,-56.0,-59.0,-58.0,-67.0,-78.0,-79.0,0.0
-62.0,-59.0,-62.0,-60.0,-68.0,-80.0,-89.0,0.0
-61.0,-58.0,-64.0,-61.0,-64.0,-78.0,-82.0,0.0
-61.0,-59.0,-62.0,-61.0,-66.0,-80.0,-88.0,0.0
-60.0,-51.0,-59.0,-63.0,-68.0,-81.0,-76.0,0.0
-60.0,-58.0,-57.0,-59.0,-66.0,-82.0,-83.0,0.0
-61.0,-54.0,-60.0,-62.0,-66.0,-79.0,-85.0,0.0
-59.0,-54.0,-60.0,-65.0,-66.0,-80.0,-90.0,0.0
-61.0,-59.0,-62.0,-65.0,-66.0,-81.0,-83.0,0.0
-61.0,-56.0,-61.0,-74.0,-69.0,-87.0,-89.0,0.0
-66.0,-55.0,-60.0,-69.0,-66.0,-85.0,-87.0,0.0
-64.0,-58.0,-60.0,-68.0,-66.0,-86.0,-88.0,0.0
-66.0,-58.0,-64.0,-67.0,-71.0,-85.0,-87.0,0.0
-62.0,-59.0,-62.0,-63.0,-65.0,-87.0,-87.0,0.0
-60.0,-56.0,-59.0,-66.0,-68.0,-81.0,-83.0,0.0
-59.0,-53.0,-58.0,-66.0,-65.0,-82.0,-78.0,0.0
